Nombre,Lugar de registro,Especialidad tecnológica,Lenguaje favorito,Certificación principal,Edad,Años de experiencia,Repositorios en GitHub,Número de certificaciones técnicas,Salario actual (USD)
Cynthia Henderson,South Alexandrafurt,DevOps Engineer,JavaScript,AWS Certified Solutions Architect,42,0,24,1,5881
Patty Garcia,East Jeffreyview,Cloud Architect,C#,AWS Certified Developer,47,10,27,6,1841
Jeffery Hurley,Whitneyview,QA Tester,Java,PMI-ACP,42,3,31,9,3385
Melissa Rosario,Lake Davidborough,Frontend Developer,Go,Microsoft Azure Fundamentals,39,0,117,0,3855
Karen Ellis,New Devin,DevOps Engineer,PHP,AWS Certified Solutions Architect,56,7,109,2,5149
Rebekah Miller,Port Ashley,Data Scientist,Go,AWS Certified Solutions Architect,55,31,141,1,6540
Joseph Williams,Port Evanmouth,Data Scientist,Ruby,CompTIA Security+,54,6,107,0,4067
Michael Bailey,Christopherstad,QA Tester,TypeScript,CompTIA Security+,42,18,55,3,3366
Timothy Avery,Perezside,Frontend Developer,Kotlin,CompTIA Security+,47,5,36,4,4022
Tyler Burns,Raymondton,Backend Developer,C#,CompTIA Security+,49,27,76,4,5857
Mark Harrison,Richardtown,Mobile Developer,TypeScript,Certified Scrum Master,48,7,125,1,6240
Abigail Anderson,West Kimberly,Mobile Developer,JavaScript,Microsoft Azure Fundamentals,30,6,112,10,5014
Dr. Kayla Lyons MD,Barnettfort,Backend Developer,JavaScript,PMI-ACP,58,12,86,10,7886
Joshua Gomez,Onealborough,Mobile Developer,TypeScript,Cisco CCNA,59,14,30,1,1363
Kathryn Whitaker,Albertside,Frontend Developer,C#,AWS Certified Developer,36,4,49,5,6387
Mark Lane,Port Jacob,Cybersecurity Specialist,PHP,PMI-ACP,49,16,106,7,3667
Bradley Harris,Jenniferstad,AI/ML Engineer,Python,Cisco CCNA,34,10,78,2,2951
Paul Stewart,East Lisa,AI/ML Engineer,Go,Cisco CCNA,49,9,145,6,2848
Joseph Hart,Jimenezfort,Cloud Architect,Java,Cisco CCNA,22,0,85,10,4414
Joshua Wyatt,East Davidport,Database Administrator,Swift,Cisco CCNA,34,12,93,5,5200
Daniel Mayer,Lake Emily,Mobile Developer,Python,Microsoft Azure Fundamentals,36,0,133,5,6482
Paul Williams,Leeland,Mobile Developer,PHP,Google Cloud Engineer,26,6,76,1,4617
Edward Michael,Juliaburgh,QA Tester,TypeScript,Google Cloud Engineer,44,17,126,2,5871
Tina Leonard,Port Racheltown,Data Scientist,Kotlin,Certified Scrum Master,44,23,46,4,4422
Susan Lindsey,Johnmouth,Database Administrator,C#,Oracle Certified Professional,33,6,53,5,6102
Peter Santos,East Laura,QA Tester,Swift,Certified Ethical Hacker,57,3,74,6,3485
Jerry Ali,Whiteport,QA Tester,Java,AWS Certified Developer,44,17,102,10,1448
Tiffany Anderson,West Wesleyberg,Backend Developer,Ruby,PMI-ACP,30,5,75,7,2457
Monica Mullins,East Danielfort,AI/ML Engineer,C#,Certified Scrum Master,55,8,72,5,856
David Bryant,Rodgersberg,DevOps Engineer,Java,Oracle Certified Professional,47,25,78,7,3121
Joseph Stanley,Lake Josephchester,Cloud Architect,PHP,Oracle Certified Professional,41,14,100,1,7717
Nathaniel Gray,Lake Sheila,AI/ML Engineer,JavaScript,Google Cloud Engineer,34,3,79,0,1263
Cory Mendoza,Ruthchester,Cybersecurity Specialist,PHP,CompTIA Security+,43,9,60,1,1656
Laura Gray,Elliottstad,DevOps Engineer,Go,PMI-ACP,33,1,82,5,4974
Brendan Whitehead,New Aaron,DevOps Engineer,Kotlin,AWS Certified Solutions Architect,52,13,68,0,6640
Travis Perry,North Melanieton,Database Administrator,C#,CompTIA Security+,51,14,85,9,4358
Troy Rodriguez,Brentburgh,DevOps Engineer,Ruby,Certified Scrum Master,29,4,82,6,2767
Alyssa Clarke MD,East Jefferyside,AI/ML Engineer,C#,AWS Certified Solutions Architect,31,2,60,0,4103
Angela Sparks,Lake Kennethshire,Cloud Architect,PHP,Microsoft Azure Fundamentals,34,1,110,7,7825
Jeffrey Fritz,East Stacey,Cybersecurity Specialist,C#,Oracle Certified Professional,29,3,13,2,4016
Molly Murray,New Catherineburgh,QA Tester,Python,Oracle Certified Professional,24,0,15,2,5546
Jamie Wolfe,New Ronald,Cybersecurity Specialist,PHP,Oracle Certified Professional,35,5,4,7,5197
Emily Preston,Heatherside,Cloud Architect,PHP,PMI-ACP,44,22,57,2,3876
Anthony Turner,Piercemouth,QA Tester,TypeScript,CompTIA Security+,37,9,27,1,7634
Derrick Molina,South Timothystad,Mobile Developer,JavaScript,Oracle Certified Professional,47,17,121,2,2235
Adam Robertson,Annachester,Mobile Developer,Kotlin,PMI-ACP,59,4,11,10,5555
Antonio Wolfe,West Chelseachester,Cybersecurity Specialist,JavaScript,CompTIA Security+,24,4,100,7,4326
Russell Watson,Wendyfurt,Mobile Developer,C#,CompTIA Security+,29,4,140,0,7568
Ann Mendoza,Port Lorichester,AI/ML Engineer,JavaScript,AWS Certified Solutions Architect,38,0,113,1,7347
David Williams,East Kyleview,Cloud Architect,PHP,Oracle Certified Professional,29,9,91,0,2957
David Anderson,New Jason,Database Administrator,Ruby,Microsoft Azure Fundamentals,33,6,88,4,4102
Christopher Herrera,Lake Patriciaport,Database Administrator,Python,Microsoft Azure Fundamentals,56,1,19,8,4737
Scott Andrews,North Melissashire,Cloud Architect,JavaScript,Cisco CCNA,46,10,147,9,5583
Angela Johnson,Whitemouth,Data Scientist,Go,Microsoft Azure Fundamentals,52,10,95,2,6279
Kevin Patterson,Port Christopherfort,Database Administrator,Python,Google Cloud Engineer,55,11,14,6,3623
Brian Greene,Lake Nicole,Backend Developer,Java,Certified Ethical Hacker,23,1,1,9,1452
Carmen Vargas,Adamsburgh,Mobile Developer,Java,AWS Certified Developer,32,8,137,9,3941
Michael Bartlett,Kaylamouth,Database Administrator,C#,Oracle Certified Professional,43,10,131,2,4871
Laurie Freeman,Jeffreyburgh,Mobile Developer,JavaScript,PMI-ACP,52,17,116,1,1239
Dawn Mueller,Riverabury,DevOps Engineer,TypeScript,Certified Scrum Master,43,19,109,10,1639
Kristie Frank,Owenview,Mobile Developer,TypeScript,CompTIA Security+,41,13,56,2,4812
Penny Calhoun,New Jessicaland,Mobile Developer,JavaScript,Certified Scrum Master,23,2,52,5,3112
Tina Carrillo,North Johnshire,DevOps Engineer,Swift,Certified Scrum Master,26,0,30,5,5341
Heather Good,Douglashaven,QA Tester,Kotlin,Certified Ethical Hacker,25,3,56,9,7372
Michael Marsh,Jacquelineborough,QA Tester,TypeScript,Google Cloud Engineer,55,22,115,9,2038
Kathryn Gonzales,Jonesberg,Frontend Developer,C#,AWS Certified Solutions Architect,40,16,13,0,6210
Michael Saunders,Hernandezmouth,Mobile Developer,JavaScript,CompTIA Security+,45,1,108,2,7217
Blake Crawford,Jennifertown,Mobile Developer,C#,Certified Ethical Hacker,51,27,23,4,7276
Reginald Wyatt,Greggport,Database Administrator,Ruby,Microsoft Azure Fundamentals,50,12,1,4,1039
Wesley Sanders,Scottside,QA Tester,Kotlin,Google Cloud Engineer,55,19,124,5,5149
John Jones,Dianatown,Database Administrator,TypeScript,Microsoft Azure Fundamentals,45,14,79,6,4302
Kristin Dunn,South Beverlyton,QA Tester,Kotlin,AWS Certified Developer,32,8,130,3,2969
William Wilkinson,Baileyborough,DevOps Engineer,Python,PMI-ACP,37,6,51,9,7467
Jose Smith,East Donna,Frontend Developer,PHP,CompTIA Security+,29,4,47,8,5721
Sabrina Torres,Maloneville,DevOps Engineer,Swift,AWS Certified Solutions Architect,34,2,144,3,3816
James Scott,Shellystad,Mobile Developer,PHP,Microsoft Azure Fundamentals,35,14,105,1,2414
Kimberly Lee,Lindseyside,Mobile Developer,C#,Certified Ethical Hacker,37,12,127,1,6439
Kevin Richards,New Danielstad,Database Administrator,Python,Google Cloud Engineer,58,28,57,9,3226
Angela Sharp,North Elainechester,QA Tester,Kotlin,Cisco CCNA,55,10,99,5,1543
Robert Dean,North Christinabury,Backend Developer,Swift,Certified Ethical Hacker,35,9,29,7,2337
Kristen Ramos,Port Lauren,AI/ML Engineer,Ruby,Cisco CCNA,27,0,23,3,4824
Jacob Mitchell,Stephanieview,Cloud Architect,TypeScript,Oracle Certified Professional,54,2,49,10,4269
Peter Thompson,Cookborough,AI/ML Engineer,JavaScript,Oracle Certified Professional,26,3,36,0,4604
Barbara Brown,Buckfurt,Data Scientist,Kotlin,AWS Certified Developer,49,29,15,2,6125
Sarah Gardner,Oconnorstad,Cloud Architect,Swift,Certified Scrum Master,32,8,110,5,2496
Ronald Berry,North John,Cybersecurity Specialist,Python,Oracle Certified Professional,59,8,36,1,5835
Kenneth Parks,New Amber,Data Scientist,Ruby,AWS Certified Developer,28,4,83,0,4691
Rebecca Jones,Aguirrestad,QA Tester,Kotlin,Oracle Certified Professional,36,3,86,4,4125
Miss Rebecca Lewis,Lake Juan,Backend Developer,Go,Microsoft Azure Fundamentals,48,18,140,1,2850
Megan Hall,Port Adammouth,AI/ML Engineer,Kotlin,Oracle Certified Professional,39,14,45,4,6889
Patricia Ward,Smithton,DevOps Engineer,JavaScript,AWS Certified Solutions Architect,52,15,41,9,2131
Thomas Chandler,Josestad,Backend Developer,TypeScript,PMI-ACP,57,11,50,8,4223
Justin Torres,West Joshuamouth,Cloud Architect,Ruby,AWS Certified Solutions Architect,27,7,94,5,1113
Emily Davis,Davisbury,Mobile Developer,Swift,Cisco CCNA,54,21,94,4,4264
Shane Mcdonald,Stuartberg,Frontend Developer,Swift,Certified Ethical Hacker,55,1,86,9,5421
Alfred Jensen,Danielchester,QA Tester,C#,PMI-ACP,22,1,113,6,4034
David Frank,Grossville,Frontend Developer,C#,Cisco CCNA,44,12,42,3,1307
Katie Valencia,South Scottville,Frontend Developer,Java,AWS Certified Solutions Architect,40,7,29,5,6167
Charles Kane,Michaelmouth,Mobile Developer,Python,Cisco CCNA,45,15,44,7,6856
Jon Parsons,Micheleton,Cybersecurity Specialist,Ruby,Oracle Certified Professional,46,22,100,0,3713
Jon Juarez,East Jillbury,Cloud Architect,C#,PMI-ACP,41,18,39,5,3906
David Hanna,Griffinside,QA Tester,Swift,Cisco CCNA,38,1,126,9,2140
Daniel Coleman,Port Johnhaven,Data Scientist,Ruby,AWS Certified Solutions Architect,29,3,96,4,5069
John Moreno,Port Abigailfort,QA Tester,TypeScript,CompTIA Security+,36,14,84,2,5873
Joseph Wilson,Gregorymouth,Cloud Architect,Kotlin,Cisco CCNA,59,28,147,9,7787
Marissa Hardin,South Amanda,DevOps Engineer,Go,Microsoft Azure Fundamentals,33,5,33,10,1689
Sarah Myers,Lake Kimberly,DevOps Engineer,Ruby,Google Cloud Engineer,32,10,120,0,1570
Christina Lee,Ibarraville,AI/ML Engineer,Python,CompTIA Security+,59,35,123,8,6290
Donald Butler,West Suzanneshire,Cybersecurity Specialist,Python,AWS Certified Solutions Architect,40,13,44,0,7642
Robert Stewart,Brooksland,Data Scientist,Python,Microsoft Azure Fundamentals,37,5,136,8,4229
Roberto West,Rachelburgh,QA Tester,Python,Google Cloud Engineer,39,10,82,7,7152
Rebecca Avila MD,South Randallview,AI/ML Engineer,Go,Certified Scrum Master,35,5,114,10,6082
Dustin Perez,Sheriside,Cybersecurity Specialist,C#,AWS Certified Developer,51,8,86,10,3174
Anthony Terry,Randallstad,Mobile Developer,JavaScript,CompTIA Security+,55,10,17,2,2883
David Ford,Wardton,Backend Developer,TypeScript,AWS Certified Developer,25,1,98,0,5902
Nicole Rodgers,Alyssastad,Backend Developer,C#,Certified Scrum Master,30,4,138,0,1983
Kelly Vincent,South Jennamouth,Mobile Developer,PHP,Certified Scrum Master,59,5,73,4,7126
Derrick Green,Tonyaville,Cloud Architect,Python,CompTIA Security+,53,29,21,6,4813
Haley Gonzalez,Hernandezhaven,AI/ML Engineer,C#,CompTIA Security+,32,10,121,9,5919
Kristine Stein,Samanthafort,Frontend Developer,JavaScript,Certified Ethical Hacker,45,14,75,5,4222
Pamela Tate,Kendrafurt,Cybersecurity Specialist,PHP,Google Cloud Engineer,49,21,97,10,2926
Karina Hernandez,Theodoreview,Cybersecurity Specialist,Kotlin,Oracle Certified Professional,29,1,107,4,4475
Isabel Lane,Lake Pamelaport,Mobile Developer,Go,Oracle Certified Professional,46,17,34,0,1660
Shannon Allison,East Elizabethton,Frontend Developer,C#,Certified Scrum Master,44,23,123,1,2152
Karen Bartlett,North Dillonshire,Cybersecurity Specialist,Ruby,Cisco CCNA,29,5,3,6,2405
Tracy Oconnor,Stokesland,Backend Developer,Kotlin,Certified Ethical Hacker,55,31,14,4,1360
Steven Scott,Gregchester,Cloud Architect,C#,AWS Certified Solutions Architect,53,0,143,1,1760
Kyle Wang,Derekville,Cloud Architect,Python,Microsoft Azure Fundamentals,46,11,150,4,4290
Amber Hancock,Cassieland,Frontend Developer,Python,Google Cloud Engineer,43,16,144,1,1002
Jeffrey Perez,Lisaside,Cybersecurity Specialist,Kotlin,Certified Ethical Hacker,44,10,17,3,2661
Michelle Davis,Lake Stacymouth,Backend Developer,Ruby,Certified Ethical Hacker,49,23,32,5,2162
Brianna Rodriguez,North Kimberly,Backend Developer,JavaScript,CompTIA Security+,39,13,146,10,1035
Timothy Montgomery,East Mark,DevOps Engineer,Ruby,Certified Scrum Master,56,20,112,8,7641
Tammy Rodriguez,North Debbiefurt,AI/ML Engineer,PHP,Google Cloud Engineer,39,6,125,8,7090
Kristin Perez,Rodriguezmouth,AI/ML Engineer,Go,Certified Scrum Master,58,23,82,8,5197
Kimberly Jones,Port Dianaport,QA Tester,Python,Certified Scrum Master,35,14,74,6,4902
Amy Ramirez,Hartborough,Mobile Developer,Python,AWS Certified Solutions Architect,57,15,47,2,4452
Bruce Patel,Cruzburgh,Data Scientist,Ruby,Google Cloud Engineer,30,9,54,3,4654
Justin Park,Lake Marc,Cybersecurity Specialist,Java,AWS Certified Developer,24,4,118,8,2084
John Jones,Orrtown,Cloud Architect,Python,AWS Certified Solutions Architect,59,24,127,5,3932
Tracy Moreno,New Samuel,Cloud Architect,Python,CompTIA Security+,47,10,118,5,3247
Sarah Russell,North Emilymouth,Cloud Architect,C#,AWS Certified Developer,26,5,141,1,7636
Christina Griffin,New Robert,Cybersecurity Specialist,Go,AWS Certified Developer,52,7,85,8,1587
Shannon Carter,North Courtneyburgh,Frontend Developer,Swift,AWS Certified Solutions Architect,55,4,74,4,4387
Clinton Massey,West Michele,QA Tester,Ruby,PMI-ACP,56,33,76,4,5466
Michael Weber,Port Matthew,QA Tester,PHP,Microsoft Azure Fundamentals,44,12,65,5,2582
Karina Larson,North Jeremy,Mobile Developer,Go,CompTIA Security+,51,19,87,10,7489
Nancy Edwards,South Jacqueline,Data Scientist,JavaScript,AWS Certified Developer,35,10,147,0,3888
Aaron Strickland,Matthewstad,QA Tester,TypeScript,Oracle Certified Professional,22,1,109,6,1684
Amy Morris,New Kyle,Cloud Architect,Go,Microsoft Azure Fundamentals,36,8,16,8,1009
Tammy Lawson,Guzmanbury,Cloud Architect,Java,Microsoft Azure Fundamentals,23,1,149,10,2230
Michael Cunningham,North Jamesbury,Cybersecurity Specialist,Python,Cisco CCNA,36,1,5,8,5644
Barry Hardy,Hughesfort,DevOps Engineer,Swift,CompTIA Security+,31,5,14,5,5549
Steven Clark,West Cody,Cybersecurity Specialist,Python,Oracle Certified Professional,40,5,94,2,809
Christopher Hughes,Carsonport,DevOps Engineer,JavaScript,Certified Ethical Hacker,53,31,80,5,3493
Stephen Nguyen,Bryantchester,Cybersecurity Specialist,Kotlin,Microsoft Azure Fundamentals,25,5,83,7,4780
Patricia Davis,Williamsberg,AI/ML Engineer,Java,AWS Certified Developer,38,9,44,5,4091
Anna Patel,Port Richard,Database Administrator,Kotlin,Microsoft Azure Fundamentals,37,11,63,1,2879
Edwin Olson,East James,Frontend Developer,Python,Cisco CCNA,30,6,72,5,4529
Alyssa Melton,West Michelleshire,AI/ML Engineer,Python,AWS Certified Solutions Architect,28,3,58,3,4863
Gregory Robertson,Port Anthonystad,Cybersecurity Specialist,TypeScript,Microsoft Azure Fundamentals,47,23,37,7,1023
Dominique Clark,Flowersstad,QA Tester,Python,Oracle Certified Professional,29,9,25,10,5970
Jack Case,New Jennifer,Cloud Architect,PHP,AWS Certified Solutions Architect,28,2,101,2,6074
Faith Wright,Powelltown,DevOps Engineer,Swift,PMI-ACP,33,6,147,4,7808
John Mckenzie,Martineztown,Mobile Developer,PHP,Oracle Certified Professional,58,15,146,1,4257
Holly Brown,New Mark,Cloud Architect,Java,Certified Ethical Hacker,48,21,92,6,7741
Scott Gardner,South Craigshire,Data Scientist,Ruby,Oracle Certified Professional,31,2,18,2,3359
Edward Stuart,Lake Becky,Database Administrator,C#,AWS Certified Developer,60,38,108,0,2033
Vincent Gardner,Gainesborough,Database Administrator,C#,CompTIA Security+,60,28,122,9,865
Francisco Harris,West Ashleyborough,Backend Developer,C#,Microsoft Azure Fundamentals,59,38,11,2,4990
Susan Ingram,New Johnfort,Database Administrator,Python,Oracle Certified Professional,31,8,7,6,6510
Alicia Diaz,Maryland,QA Tester,JavaScript,Cisco CCNA,54,19,46,6,3697
Rhonda Jones,Guerrahaven,AI/ML Engineer,Ruby,Google Cloud Engineer,34,5,78,9,3285
Martin Casey,Port Kelly,Mobile Developer,C#,Google Cloud Engineer,24,1,33,7,7905
Brittany Gibson,New Pamelaborough,AI/ML Engineer,Python,Certified Scrum Master,37,2,42,0,4361
Louis Lawrence,Thompsonborough,Data Scientist,Ruby,AWS Certified Solutions Architect,33,9,79,5,4000
Gloria Hill,Rodriguezstad,Mobile Developer,Kotlin,Microsoft Azure Fundamentals,23,2,47,2,4953
Andrew Smith,Grantton,Data Scientist,Ruby,Microsoft Azure Fundamentals,37,7,54,5,6096
Tom Freeman,Meyerborough,Cloud Architect,PHP,AWS Certified Solutions Architect,34,1,133,10,3093
Douglas Greene,East Williamtown,Mobile Developer,Go,CompTIA Security+,42,10,77,3,1492
Matthew Mccormick,Ramirezton,Cloud Architect,Kotlin,Microsoft Azure Fundamentals,43,5,79,3,1266
Priscilla Kemp,North Stephanieland,Frontend Developer,Kotlin,PMI-ACP,35,6,32,2,5378
Andrew Burgess,Morrisontown,DevOps Engineer,Kotlin,AWS Certified Developer,59,1,0,8,3469
Marc Green,South Derrick,AI/ML Engineer,TypeScript,Oracle Certified Professional,34,3,144,7,6618
Jennifer Rios,Port Mirandaberg,Data Scientist,JavaScript,Google Cloud Engineer,29,4,138,0,1341
Steven Johnson,North Christine,AI/ML Engineer,TypeScript,PMI-ACP,25,5,148,8,1642
Rebecca Roach,Kington,Data Scientist,PHP,PMI-ACP,47,2,97,5,1717
Melissa Davis,Juanhaven,Cloud Architect,Python,Certified Ethical Hacker,35,12,110,9,3001
Melissa Kane,Josephville,AI/ML Engineer,JavaScript,CompTIA Security+,51,3,20,7,873
Nancy Martinez,Aliciaport,Cloud Architect,PHP,Cisco CCNA,44,4,13,7,3424
Ryan Lee,North Chloe,DevOps Engineer,Kotlin,Certified Ethical Hacker,53,30,88,4,2939
Anne Anderson,Michaelhaven,Database Administrator,Python,Microsoft Azure Fundamentals,38,13,34,2,3315
Emma Gutierrez,North Dawnfurt,Cybersecurity Specialist,PHP,Microsoft Azure Fundamentals,50,17,81,8,1538
John Wood,Gaybury,Cybersecurity Specialist,JavaScript,Certified Ethical Hacker,51,12,49,3,6715
Ashley Carr,New Jamesside,Data Scientist,C#,Microsoft Azure Fundamentals,26,0,17,5,6156
Michelle Hernandez,West Caroltown,Database Administrator,Ruby,Cisco CCNA,33,11,72,9,6578
Joel Shaffer,Franktown,AI/ML Engineer,Java,Microsoft Azure Fundamentals,51,30,27,10,2709
Deanna Williams,Khanland,Database Administrator,Ruby,Google Cloud Engineer,42,2,88,5,4099
Steven Valdez,South Melissa,Mobile Developer,Java,CompTIA Security+,51,10,26,8,7395
Alyssa Johnson,Michaelmouth,AI/ML Engineer,C#,Google Cloud Engineer,54,0,86,10,1499
George Maldonado,South Jenniferberg,Frontend Developer,Go,Microsoft Azure Fundamentals,59,32,126,4,3676
Amanda Reynolds,Port Edward,AI/ML Engineer,Swift,AWS Certified Developer,27,5,28,4,2850
Miranda Newman,Karinaton,DevOps Engineer,Ruby,Microsoft Azure Fundamentals,22,2,33,0,5507
Brett Humphrey,South Johnberg,Database Administrator,JavaScript,AWS Certified Solutions Architect,23,1,54,9,7121
Katherine Bailey,Lake Leonard,Backend Developer,Swift,Cisco CCNA,43,8,9,1,1555
Dana Martin,Camachofurt,Mobile Developer,Go,AWS Certified Developer,59,30,9,0,2951
Stacey Owens,Chadborough,Data Scientist,Go,PMI-ACP,23,0,33,6,3169
Phillip Curry,West Michaelmouth,DevOps Engineer,TypeScript,Oracle Certified Professional,54,12,34,2,3452
Bryan Ross,Humphreystad,Backend Developer,Kotlin,Certified Ethical Hacker,48,1,145,2,6350
Jessica Kennedy,Jaclynfort,Backend Developer,Ruby,Certified Ethical Hacker,26,1,25,6,5562
Dr. John Oliver,North Kevinbury,QA Tester,PHP,Oracle Certified Professional,39,9,143,5,3725
Nicholas Norris,North Robertport,Backend Developer,TypeScript,Cisco CCNA,29,4,95,3,3486
Rose Ward,Danielsland,Mobile Developer,Java,Google Cloud Engineer,26,3,96,0,4588
James Dean,Ryanmouth,Data Scientist,Go,CompTIA Security+,37,6,140,4,6980
Stephanie Guerrero,North Ronnieton,Database Administrator,TypeScript,Google Cloud Engineer,33,6,17,4,1423
Jay Mendoza,Sarahhaven,Backend Developer,PHP,Google Cloud Engineer,57,24,51,2,5976
David Jackson,Ginamouth,DevOps Engineer,C#,Microsoft Azure Fundamentals,49,19,89,5,1743
Samantha Turner,Chelseashire,Frontend Developer,TypeScript,Oracle Certified Professional,60,19,145,1,887
Mark Rodriguez,West Nicholas,DevOps Engineer,Swift,Oracle Certified Professional,56,2,104,6,2724
Regina Howard,Simmonsberg,Frontend Developer,TypeScript,Certified Ethical Hacker,40,0,123,7,3822
Danielle Johnson,West Ashleyfurt,Cybersecurity Specialist,Java,Microsoft Azure Fundamentals,54,15,141,2,982
Todd Turner,East Courtney,Frontend Developer,Kotlin,AWS Certified Developer,57,30,12,3,6929
Timothy Hale,Port James,Backend Developer,Ruby,AWS Certified Solutions Architect,32,3,129,1,2451
